,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
50714,7244,29.23,10.32,10.06,8.85,-0.0723,0.5692
50715,5534,26.85,8.65,14.69,3.51,-0.0997,0.1295
50716,9176,28.96,5.24,16.85,6.87,-0.008,0.1152
50717,6097,22.17,5.28,12.4,4.5,-0.0767,0.0138
50718,2246,20.78,10.09,5.79,4.9,-0.1318,0.3263
50719,6087,21.55,9.91,8.66,2.99,-0.0425,0.0592
50720,910,40.18,15.01,20.64,4.53,-0.0418,0.3691
50721,6121,25.62,6.65,13.39,5.57,-0.161,0.1605
50722,7160,47.85,13.49,26.39,7.98,0.2085,0.3438
50723,4398,27.49,5.33,15.82,6.34,-0.1315,0.3013
50724,4377,33.49,8.62,20.69,4.18,-0.1604,0.0686
50725,6122,17.74,4.31,8.57,4.87,-0.205,-0.0437
50726,4376,16.41,6.13,7.52,2.76,-0.2106,0.0033
50727,2834,36.22,12.59,15.85,7.78,0.1314,0.3742
50728,5247,18.12,4.06,6.45,7.61,-0.2431,0.2628
50729,5504,12.77,4.3,5.25,3.22,-0.2017,-0.0289
50730,5562,10.86,4.94,-0.01,5.93,-0.249,0.0304
50731,3537,25.71,1.25,20.78,3.68,-0.0692,-0.1352
50732,5501,14.08,3.59,4.62,5.86,-0.1744,0.0785
50733,5560,31.37,5.62,16.36,9.4,-0.0868,0.2902
50734,3688,44.07,13.71,25.76,4.6,0.1175,0.267
50735,3767,46.24,12.53,27.5,6.21,0.0167,0.492
50736,5110,23.36,8.85,7.13,7.38,-0.2087,0.1151
50737,1711,37.2,11.79,16.0,9.41,0.0246,0.4936
50738,6963,21.32,6.07,9.58,5.67,-0.0956,0.1646
50739,7794,23.15,5.77,8.78,8.6,-0.0624,0.2853
50740,5086,32.86,8.64,17.51,6.7,-0.0539,0.1877
50741,6097,18.02,5.87,8.01,4.14,-0.0828,-0.0138
50742,3618,30.86,7.22,18.7,4.95,0.0096,0.1318
50743,7160,48.33,14.77,25.32,8.24,0.1997,0.3665
50744,5534,24.93,9.24,12.54,3.16,-0.1058,0.1019
50745,6087,20.75,8.19,11.09,1.47,-0.0479,-0.0143
50746,6091,14.04,3.94,3.22,6.87,-0.2205,0.0342
50747,7244,29.08,9.49,10.77,8.81,-0.0863,0.5745
50748,7790,35.21,11.57,17.9,5.74,-0.0193,0.3603
50749,5183,8.92,1.03,4.31,3.58,-0.2438,-0.0418
50750,9176,24.81,5.83,12.46,6.52,-0.0141,0.0877
50751,3603,32.6,7.22,17.75,7.63,0.109,0.303
50752,4398,27.99,6.62,14.77,6.6,-0.1403,0.3241
50753,5504,15.44,5.77,6.04,3.63,-0.2054,0.0105
50754,7808,16.62,6.37,5.06,5.18,-0.2238,0.1117
50755,6121,26.11,7.94,12.34,5.83,-0.1698,0.1833
50756,5501,16.81,3.21,7.08,6.51,-0.1762,0.0677
50757,5562,12.34,4.57,1.2,6.58,-0.2509,0.0195
50758,4983,36.78,8.11,17.65,11.01,0.0777,0.3833
50759,5247,19.33,5.53,5.77,8.03,-0.2468,0.3021
50760,4377,33.65,9.59,20.35,3.71,-0.1617,0.0554
50761,6098,25.19,7.74,10.98,6.46,-0.0298,0.4141
50762,7794,23.26,5.3,8.19,9.77,-0.0682,0.3394
50763,8611,7.83,0.53,4.26,3.04,-0.2387,-0.1053
50764,5560,30.95,5.43,15.94,9.58,-0.0008,0.3002
50765,910,39.6,13.3,23.29,3.01,-0.0472,0.2956
50766,2246,20.2,8.38,8.44,3.38,-0.1372,0.2529
50767,4376,16.57,7.1,7.17,2.3,-0.2119,-0.0098
50768,3767,45.82,12.35,27.09,6.39,0.1026,0.502
50769,3688,43.65,13.52,25.34,4.78,0.2034,0.277
50770,7155,14.63,2.21,7.01,5.41,-0.1239,-0.0477
50771,5086,32.96,8.17,16.92,7.87,-0.0597,0.2417
50772,6122,17.9,5.28,8.22,4.4,-0.2063,-0.0569
50773,3537,28.44,0.87,23.24,4.34,-0.0711,-0.146
50774,5110,24.37,9.21,7.83,7.33,-0.1129,0.1402
50775,8041,14.52,4.79,5.88,3.84,-0.1793,0.0285
50776,1711,38.22,12.16,16.7,9.36,0.1203,0.5187
50777,2834,37.43,14.06,15.18,8.2,0.1277,0.4136
50778,3688,44.92,14.13,25.61,5.18,0.1906,0.3299
50779,7160,49.75,15.55,25.4,8.8,0.1827,0.4066
50780,5501,16.75,2.66,7.13,6.96,-0.1776,0.0311
50781,3537,30.25,0.84,24.49,4.93,-0.0738,-0.1555
50782,7794,25.01,5.73,9.5,9.78,0.0272,0.3619
50783,7244,28.33,9.13,10.1,9.1,-0.0894,0.6151
50784,5560,30.77,5.8,14.96,10.01,-0.0049,0.3511
50785,2246,20.23,8.6,7.26,4.38,-0.142,0.2802
50786,6098,26.94,8.18,12.29,6.47,0.0656,0.4366
50787,4377,35.4,10.03,21.66,3.72,-0.0663,0.0779
50788,3603,33.57,8.04,17.43,8.09,0.104,0.3396
50789,5534,26.36,10.02,12.61,3.72,-0.1228,0.142
50790,7155,15.9,2.82,7.28,5.8,-0.1367,0.0052
50791,2834,37.66,14.26,15.15,8.26,0.1125,0.4272
50792,3767,45.85,12.56,25.91,7.38,0.0978,0.5293
50793,7790,34.28,11.19,18.0,5.09,-0.0236,0.3196
50794,4398,29.09,7.44,14.6,7.06,-0.1453,0.3607
50795,9176,23.82,5.45,12.5,5.87,-0.0184,0.0469
50796,5247,18.97,5.71,5.8,7.46,-0.2493,0.3327
50797,910,39.43,13.67,22.31,3.45,-0.0513,0.3466
50798,1711,38.45,12.36,16.67,9.42,0.1052,0.5323
50799,3618,32.29,8.0,18.78,5.51,-0.0074,0.1719
50800,4983,36.42,8.29,17.67,10.45,0.0753,0.4139
50801,5086,34.23,8.78,17.18,8.27,-0.0725,0.2946
50802,7244,27.63,9.31,9.88,8.44,-0.0894,0.6151
50803,7794,24.31,5.91,9.29,9.12,0.0272,0.3619
50804,3537,28.93,1.01,23.65,4.27,-0.0738,-0.1555
50805,5560,30.22,5.85,14.72,9.65,-0.0049,0.3511
50806,2246,19.68,8.64,7.03,4.02,-0.142,0.2802
50807,6098,26.39,8.23,12.06,6.11,0.0656,0.4366
50808,5110,25.15,9.18,8.05,7.92,-0.1157,0.1306
50809,2834,37.29,14.17,15.11,8.01,0.1125,0.4272
