Archimedes Division,,Team Input,,,,,,,,,,,,Statbotics Data,,,,,,,,,
,,,,,,,,,,,,,,Overall,,,Scoring Period,,Scoring Location,,,Game Piece Type,
Team Number (linked to FRC Events),"Team Name
(linked to Statbotics)",Drive Train Type,Robot Weight,Robot Width (with Bumpers),Robot Length (with Bumpers),Game Piece Capability,Game Piece Acquisition,Game Piece Scoring,Center Autonomous Routine,Non-Cable Protector Autonomous Routine,Cable Protector Autonomous Routine,Endgame Assistance,Comments,EPA,Total Pieces,Links,Auto Pieces,Teleop Pieces,Bottom Pieces,Middle Pieces,High Pieces,Cubes Scored,Cones Scored
2905,Sultans of Turkiye,Mecanum,,,,,,,,,,,,16.4,2.7,0.4,0.6,2.1,2,1.1,-0.3,3,-0.3
3015,Ranger Robotics,Swerve,124,,,Cones & Cubes,Both Substations + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 3,Score Preloaded + Mobility + Score 3,Other,"Auto scoring, 3x regional winners",58.8,8,2.5,2,6,0.6,3.7,3.7,2.3,5.8
3061,Huskie Robotics,Swerve,124,31,31,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Engage,Score Preloaded + Mobility + Score 2,Score Preloaded + Mobility + Score 2,None,,43.9,5.4,1.4,1,4.4,1.7,1.1,2.6,2.3,3.2
3130,The ERRORs,Swerve,,,,,,,,,,,,35.9,5.2,1.5,1,4.2,3.3,0.3,1.7,3.9,1.3
3142,Aperture,Tank,,32.5,37.5,"Cones auto, Cubes teleop",Floor Only,"High and Mid Auto, Hybrid Teleop",Score Preloaded + Mobility + Engage,Score Preloaded + Mobility,Score Preloaded + Mobility,None,,39.8,6,1.8,0.9,5.1,4.2,0.6,1.2,4.6,1.5
3256,WarriorBorgs,Swerve,,,,,,,,,,,,26.1,3.4,0.6,1,2.4,0.8,0.4,2.3,2,1.4
3322,Eagle Evolution,Tank,,,,,,,,,,,,37.1,5.4,1.5,1.1,4.3,1.5,3.4,0.5,2.6,2.8
3459,Team PyroTech,Swerve,,,,,,Cubes All Three Rows; Cones Hybrid + Mid,,,,,,22.2,2.6,0.5,0.1,2.5,1.7,0.2,0.7,2.2,0.4
3663,CPR - Cedar Park Robotics,Swerve,,,,Cones & Cubes,Double Substation + Floor,All Three Rows,,,,,,57.7,8.6,2.3,1.6,7,2.1,3.7,2.8,4.1,4.5
4028,The Beak Squad,Swerve,118,32,36,Cones & Cubes,Both Substations + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 1 + Acquire 1,Score Preloaded + Mobility + Score 1 + Acquire 1,Wheel Deployment,Also have Score Preloaded + Mobility + Score 1 + Engage auton both sides,64.6,8.6,3,1.5,7.1,2.9,1.6,4.1,3.6,5
4362,CSPA Gems,Swerve,21,,,,,,,,,,,54.8,7.6,2.2,2.1,5.5,1.9,2.4,3.3,3.5,4.1
4373,RooBotics,Tank,,,,Cones & Cubes,,,,,,,,51.5,6.9,1.8,1.6,5.2,0.6,2.7,3.5,2.3,4.6
4476,W.A.F.F.L.E.S.,Swerve,121,30,40,Cones & Cubes,Both Substations + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 1,Score Preloaded + Mobility + Score 1,Wheel Deployment,,52.8,6.5,1.9,1.2,5.3,1.1,1.5,4,2.4,4.2
4598,ICARUS INNOVATED,Tank,,30,,Cones & Cubes,,,,,,,,26.6,4.2,0.8,1.3,2.9,1.4,0.7,2.2,2.4,1.8
4903,Mustangs,Swerve,,,,Cones & Cubes,Both Substations,All Three Rows,Score Preloaded + Mobility + Engage,,,,,51.3,7.7,2.4,1.1,6.6,1.7,2.7,3.4,2.9,4.9
